iter	Passed	Remaining
399	50955	12738
400	51076	12609
401	51192	12479
402	51309	12350
403	51469	12230
404	51592	12102
405	51724	11975
406	51851	11848
407	51979	11720
408	52126	11597
409	52273	11474
410	52460	11360
411	52648	11245
412	52801	11122
413	52952	10999
414	53124	10880
415	53268	10756
416	53417	10632
417	53580	10510
418	53751	10391
419	53976	10281
420	54094	10150
421	54243	10026
422	54440	9909
423	54567	9780
424	54716	9655
425	54886	9534
426	54996	9402
427	55170	9280
428	55303	9152
429	55448	9026
430	55618	8904
431	55738	8773
432	55876	8646
433	56015	8518
434	56128	8386
435	56238	8255
436	56342	8122
437	56435	7988
438	56547	7857
439	56685	7729
440	56787	7597
441	56876	7463
442	56966	7329
443	57075	7198
444	57178	7067
445	57270	6934
446	57371	6802
447	57480	6671
448	57588	6541
449	57714	6412
450	57834	6283
451	57948	6153
452	58066	6024
453	58176	5894
454	58308	5766
455	58423	5637
456	58554	5509
457	58656	5378
458	58766	5249
459	58872	5119
460	58973	4989
461	59082	4859
462	59175	4728
463	59282	4599
464	59378	4469
465	59462	4338
466	59555	4208
467	59655	4078
468	59770	3950
469	59879	3822
470	59992	3693
471	60092	3564
472	60190	3435
473	60287	3306
474	60390	3178
475	60485	3049
476	60569	2920
477	60651	2791
478	60739	2662
479	60854	2535
480	60940	2407
481	61036	2279
482	61134	2151
483	61228	2024
484	61320	1896
485	61434	1769
486	61534	1642
487	61645	1515
488	61734	1388
489	61833	1261
490	61936	1135
491	62040	1008
492	62131	882
493	62224	755
494	62315	629
495	62404	503
496	62500	377
497	62595	251
498	62680	125
499	62768	0
