iter	MultiClass
306	0.2716958625
307	0.2716126517
308	0.2714712072
309	0.2679597492
310	0.2677442842
311	0.2676165089
312	0.2639804539
313	0.2619922445
314	0.2592950121
315	0.2592351896
316	0.2589099358
317	0.2578786965
318	0.2576520796
319	0.2575540427
320	0.2572581478
321	0.2549478674
322	0.254859174
323	0.2547502016
324	0.2536846841
325	0.2503582416
326	0.2485448107
327	0.2472416634
328	0.2470267242
329	0.2436568463
330	0.24310848
331	0.2415881096
332	0.2415417501
333	0.2401201844
334	0.2400380214
335	0.2398667534
336	0.2381619114
337	0.2362789755
338	0.2336845386
339	0.233564887
340	0.2319766486
341	0.2315358318
342	0.2297708749
343	0.2295840655
344	0.2293928947
345	0.2277272881
346	0.2254058453
347	0.2252606341
348	0.2228705638
349	0.2214471284
350	0.2213937413
351	0.2212048269
352	0.2211235815
353	0.2210602019
354	0.2204972781
355	0.2197398244
356	0.2177912652
357	0.2177336359
358	0.2176409037
359	0.2175977915
360	0.2169462992
361	0.2168069374
362	0.2152039083
363	0.2141155547
364	0.2129633164
365	0.2129183881
366	0.212733826
367	0.2103494396
368	0.210297788
369	0.2093742202
370	0.2089376558
371	0.2060976802
372	0.2060527316
373	0.2059940009
374	0.2059491961
375	0.2046290012
376	0.2042819441
377	0.2040700137
378	0.2033242149
379	0.2032517744
380	0.2031946233
381	0.2031591538
382	0.2015867328
383	0.2007011694
384	0.1986422301
385	0.1978672866
386	0.1978173912
387	0.1976923748
388	0.1976328046
389	0.1975423758
390	0.1949751237
391	0.1949258666
392	0.1927166205
393	0.1926411137
394	0.1925794962
395	0.19168477
396	0.1895967083
397	0.1895105029
398	0.1885982129
399	0.1865947276
400	0.1865183738
401	0.1855784201
402	0.1826970791
403	0.182620776
404	0.1816747771
405	0.1811094657
406	0.1810707625
407	0.1801916725
408	0.1786331848
409	0.1771958268
410	0.1767589182
411	0.1766449022
412	0.1751469136
413	0.1751092454
414	0.1742489395
415	0.1741740964
416	0.1741014947
417	0.1737361793
418	0.1727939185
419	0.1717225551
420	0.1713863375
421	0.1706436947
422	0.1695353069
423	0.1691595674
424	0.1689522363
425	0.1679733039
426	0.1679332122
427	0.1672023227
428	0.1670576521
429	0.1660324454
430	0.1659970629
431	0.1646623293
432	0.1646076584
433	0.1641963833
434	0.1632862988
435	0.1632525996
436	0.1608286929
437	0.159742592
438	0.159709569
439	0.1586445766
440	0.1579575722
441	0.1571642826
442	0.1565042213
443	0.1564367709
444	0.1562291497
445	0.1562107217
446	0.1561694812
447	0.1555427274
448	0.1554638558
449	0.1550649737
450	0.1549383939
451	0.1539867007
452	0.1527010262
453	0.1524737708
454	0.1505557513
455	0.1505294937
456	0.1497527472
457	0.1497237185
458	0.1492395404
459	0.1483722912
460	0.1476153665
461	0.1468865225
462	0.1450318502
463	0.1441675421
464	0.1441124957
465	0.1430490289
466	0.1429898133
467	0.1429706394
468	0.1429325284
469	0.1429142705
470	0.14287251
471	0.1427452753
472	0.1415872061
473	0.1415132416
474	0.1414314353
475	0.1413171941
476	0.1411887255
477	0.1407626323
478	0.1405402096
479	0.1403716941
480	0.1403523423
481	0.1402774717
482	0.140227449
483	0.1390494438
484	0.1389241089
485	0.1375093656
486	0.1374651698
487	0.1366750682
488	0.1365678178
489	0.1360543589
490	0.1359394427
491	0.1357766624
492	0.135356941
493	0.1352549711
494	0.1346558657
495	0.1342505046
496	0.1335268458
497	0.1330339327
498	0.1325276401
499	0.1322824948
