iter	MultiClass
0	5.464210355
1	5.431343719
2	5.341469378
3	5.297787281
4	5.289853466
5	5.242923424
6	5.237808378
7	5.20129461
8	5.167874326
9	5.162951197
10	5.136406406
11	5.05115698
12	5.022723128
13	4.996392788
14	4.920588021
15	4.879550766
16	4.818726093
17	4.766447526
18	4.680059733
19	4.53665445
20	4.490050981
21	4.421972737
22	4.398508376
23	4.387536838
24	4.359321858
25	4.248563951
26	4.188952687
27	4.121805089
28	4.054912046
29	4.013263636
30	3.985854062
31	3.953765649
32	3.882459963
33	3.874726885
34	3.828212144
35	3.761081928
36	3.703991033
37	3.687308188
38	3.624864446
39	3.600508517
40	3.491217193
41	3.420626968
42	3.371650457
43	3.330233186
44	3.296500728
45	3.16509912
46	3.06595069
47	2.994505507
48	2.93281823
49	2.888101369
50	2.814418373
51	2.707818976
52	2.63298766
53	2.589181144
54	2.54380162
55	2.507770576
56	2.484238921
57	2.428568983
58	2.358219096
59	2.33863247
60	2.311878153
61	2.276555321
62	2.223319227
63	2.180015743
64	2.129594597
65	2.082608644
66	2.004859164
67	1.967341739
68	1.91648064
69	1.858582835
70	1.815346759
71	1.79604419
72	1.74383045
73	1.731535483
74	1.691700453
75	1.661292717
76	1.617965136
77	1.567837635
78	1.525721202
79	1.510904264
80	1.486093128
81	1.459460867
82	1.420122943
83	1.366258432
84	1.357367277
85	1.30330253
86	1.26257367
87	1.231223663
88	1.201924262
89	1.176013331
90	1.143144173
91	1.142245393
92	1.141171179
93	1.124189005
94	1.101436284
95	1.079677736
96	1.063899401
97	1.04254107
98	1.018074161
99	1.016461731
100	1.00615231
101	1.004128492
102	0.9890783179
103	0.9777961603
104	0.9773707133
105	0.9699533195
106	0.9404642715
107	0.9281731085
108	0.920428125
109	0.9199366287
110	0.9193057722
111	0.9181980565
112	0.9098580634
113	0.9091735248
114	0.9076667416
115	0.8970955586
116	0.866864508
117	0.8631437043
118	0.8526036852
119	0.8423704359
120	0.833053314
121	0.8291717193
122	0.819905078
123	0.8040684333
124	0.7999952115
125	0.799604864
126	0.7985078023
127	0.775336042
128	0.7749247187
129	0.7714889794
130	0.7525404484
131	0.7327184582
132	0.7321635414
133	0.7271903954
134	0.7266505006
135	0.7224607647
136	0.7165463179
137	0.7155062657
138	0.713042839
139	0.7124469174
140	0.7038089311
141	0.7032922892
142	0.7027768054
143	0.6952108942
144	0.6931791873
145	0.6917881148
146	0.6915441877
147	0.6765558785
148	0.6757713351
149	0.6753416025
150	0.6584717592
151	0.6582930736
152	0.649992869
153	0.6317745861
154	0.6243494726
155	0.6126100216
156	0.6027440808
157	0.6024360208
158	0.6021430272
159	0.5942535533
160	0.5842382303
161	0.5816194631
162	0.5773531873
163	0.5612312353
164	0.5590425972
165	0.5587658418
166	0.5583406801
167	0.5581855733
168	0.5578187185
169	0.5489312451
170	0.5484357924
171	0.5396455313
172	0.5393365121
173	0.5290412913
174	0.5170676939
175	0.5157491154
176	0.5155590526
177	0.5150617026
178	0.5097617033
179	0.5084434064
180	0.4951521497
181	0.4949514074
182	0.4948278674
183	0.4902857102
184	0.4848168354
185	0.4847171475
186	0.4828391706
187	0.4795377255
188	0.4787219827
189	0.4767960483
190	0.4687454265
191	0.4686301729
192	0.4671840062
193	0.467006609
194	0.4667907779
195	0.4586059782
196	0.4564929068
197	0.4538277133
198	0.4493345683
199	0.4464961884
200	0.4461873357
201	0.4437176203
202	0.4376903407
203	0.4364197439
204	0.4355253248
205	0.4330083638
206	0.4325936674
207	0.432244619
208	0.4320275985
209	0.4319152489
210	0.4297179148
211	0.429489266
212	0.4179322999
213	0.4177916392
214	0.4169753181
215	0.4166303802
216	0.4148476495
217	0.4145053877
218	0.4088910686
219	0.4083597037
220	0.4036812572
221	0.4019760082
222	0.3974285791
223	0.3915152736
224	0.3842010081
225	0.382594943
226	0.3812638436
227	0.3809912278
228	0.3802123117
229	0.3799762908
230	0.3794659252
231	0.3793357641
232	0.3755243929
233	0.3751144995
234	0.3750094977
235	0.3748400986
236	0.3744608189
237	0.3741866936
238	0.3616628794
239	0.3587861547
240	0.3584427672
241	0.3569421959
242	0.3544740799
243	0.3542123226
244	0.3540519888
245	0.3536266195
246	0.3535257768
247	0.3534644727
248	0.3518808163
249	0.3511199763
250	0.350860771
251	0.3448589196
252	0.3440141407
253	0.3397019584
254	0.3393394521
255	0.3391022193
256	0.3390114936
257	0.3345055536
258	0.3286132029
259	0.3255679892
260	0.3252662583
261	0.3248626698
262	0.3228419361
263	0.3200521582
264	0.3174934232
265	0.3172057575
266	0.3171393441
267	0.3170698132
268	0.3118007599
269	0.3116659489
270	0.3066376341
271	0.3054044615
272	0.3052976673
273	0.3046489712
274	0.3044178076
275	0.3008798464
276	0.3007509752
277	0.3003007421
278	0.3001695229
279	0.300113816
280	0.3000388535
281	0.2999156605
282	0.2970062219
283	0.2951441599
284	0.292001623
285	0.2917807136
286	0.2916631996
287	0.2916148914
288	0.2902485888
289	0.2901974917
290	0.2881349293
291	0.2826600872
292	0.2825806532
293	0.2824444609
294	0.2823622806
295	0.2819130021
296	0.2804615546
297	0.2799221175
298	0.2797871172
299	0.2796599503
300	0.279556079
301	0.2794756644
302	0.2787645216
303	0.2768397984
304	0.2764564
305	0.2743649037
